,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,id,title,genre
0,14.384554,10.07196,9.254234,8.366305,8.412608,7.718485,8.841459,7.141939,6.610245,7.164526,7.972684,6.568001,6.133464,6.802267,6.11953,5.279717,4.273418,4.854528,4.729703,5.93743,4.59013,5.973317,6.712668,4.147456,5.305529,3.699765,4.03279,4.278396,4.139277,3.428317,5.642559,2.789577,3.618752,3.79575,2.99368,3.117049,3.234794,2.616209,3.07937,2.97623,2.415591,2.67857,2.844888,2.839495,6.048202,2.733623,2.338701,2.583449,2.604908,2.106347,2.6023,2.497944,2.451937,2.603543,2.068039,2.340389,2.494048,2.178048,2.25026,1.762886,TRACNVF128F428EA87,b'56 Days',Pop_Rock
1,20.254399,15.240386,12.192601,10.192063,14.913966,10.437272,10.76637,9.427248,10.589213,11.316159,8.258799,9.999027,6.927578,6.130494,9.968732,6.363001,6.509188,7.618619,10.764134,8.566073,5.384914,7.341006,4.565379,7.397553,4.758324,4.613868,5.58487,5.306037,5.087628,3.979386,5.178712,3.776317,3.862951,5.21557,4.230807,4.326035,3.754773,4.360356,10.225646,3.637269,3.94186,3.190236,3.039682,4.448655,3.613577,3.006099,3.093318,3.608065,4.232244,3.146752,3.135593,2.600811,3.423134,3.76577,2.945505,3.151019,3.815733,7.950661,4.321205,3.047718,TRAESQE128F92D0349,b'Come Monday',Pop_Rock
2,18.061145,19.896658,11.173247,12.459982,11.650172,9.805163,8.254503,9.868242,10.392601,8.451182,10.007413,7.363718,8.867992,7.305498,10.628378,10.098656,9.394688,7.23432,5.155216,7.372824,7.463465,8.069721,5.61858,8.150086,6.868408,5.548884,6.10055,6.876606,5.322548,6.298406,5.789694,9.819822,6.531184,7.197878,4.898808,6.646915,4.301707,4.321997,5.160038,5.192977,4.920513,3.981111,4.527836,5.95976,3.726956,4.333245,3.728477,4.626738,4.39326,3.603988,3.576414,3.819219,2.752442,2.854147,3.221542,2.605774,3.823059,3.267315,2.983568,2.58565,TRAKTFQ128F145698C,b'Essaywhuman?!!',Rap
3,11.450055,13.189083,9.137833,8.660097,6.52432,5.974535,4.768837,4.52059,4.260969,3.938518,5.748175,4.360441,3.851623,3.671786,3.168513,3.468342,3.868281,2.346439,3.531891,3.064251,2.268798,3.127634,3.127673,3.197259,2.409737,2.431667,2.483206,2.217564,2.514001,3.352342,2.425199,2.010815,1.79146,1.997977,1.894534,1.775116,2.273055,1.489208,1.971192,1.834907,2.205726,1.672914,1.870972,1.513071,2.089753,1.487566,1.550982,1.806219,1.671181,1.672227,1.524588,1.595787,1.347379,1.511657,1.481358,1.801863,1.520594,1.708796,1.395908,1.892276,TRADFRI128F931558C,b'No more going home',Pop_Rock
4,13.091001,8.029846,6.300979,8.254257,8.651085,5.674224,6.283845,5.597037,7.554135,6.336118,5.055137,4.334975,3.739859,7.875154,3.693928,3.719831,3.916382,2.872729,6.801201,3.107949,2.60234,2.970552,3.518894,3.91154,2.376696,2.514578,2.148646,2.21637,2.116817,2.252733,2.246461,2.125536,2.772681,2.540961,1.890113,1.812561,4.152295,4.902054,1.898251,1.960456,1.549467,1.976907,1.984275,1.651744,1.32615,1.544396,2.224663,1.911746,1.956284,1.40128,2.006132,2.335842,1.634963,1.607376,1.109916,1.749733,1.900112,1.306233,1.3152,1.521253,TRAOBKM128F92F894E,b'Lillie Anne',Pop_Rock
5,10.058802,8.333566,9.916685,11.066463,6.798325,7.724035,7.250632,6.021917,5.801378,5.473361,8.15465,5.032809,4.673379,5.042305,4.790036,3.627311,4.781418,4.97732,4.332233,4.435994,5.232571,8.629829,5.258585,4.412998,4.840739,4.109592,3.719557,3.664427,3.257679,3.352683,3.456339,2.908836,4.210671,3.658351,3.305083,3.642594,3.251367,3.114233,3.003662,3.186329,2.900944,3.20758,3.20038,5.4413,6.840676,3.538422,2.648478,3.035824,2.879605,3.23508,2.780378,2.43435,2.842999,2.364846,2.718703,2.772967,2.75603,2.681201,2.195447,2.607654,TRBDIZG12903CD68A3,b'After One Quarter Of A Revolution',Pop_Rock
6,7.5024,4.061262,4.033918,4.770836,2.93199,4.248497,3.842558,3.396801,4.168311,4.100601,2.702756,6.805479,4.264271,3.690997,3.528706,3.291289,2.563444,2.67038,1.692778,1.828083,2.324034,2.754597,1.9695,5.597948,2.478767,3.099149,2.655229,1.794833,1.866842,3.941701,2.62682,1.882867,2.867624,1.832398,1.771052,3.142099,2.037135,1.710085,1.855958,1.652528,1.52964,2.436325,1.901209,1.658176,1.784808,1.991253,4.575698,8.183371,1.73825,1.990621,1.595714,1.391387,1.355567,2.091629,1.161527,1.495213,1.387568,1.068437,1.362952,2.499045,TRAUDZF128F147217A,"b'Pete\'s Crusade (12"" Version) (2006 Digital Remaster)'",Pop_Rock
7,7.193788,7.952812,5.947582,5.986434,5.897777,5.826847,5.101081,3.345675,4.931451,4.181767,4.964482,4.113538,3.173456,4.727615,4.88837,5.218352,4.037032,3.267488,2.908909,3.01616,2.988997,3.03976,2.85627,2.152918,2.810335,2.360864,3.082163,2.651965,5.236733,2.516284,2.110596,2.022117,2.042969,2.286121,2.263992,1.979388,2.074022,1.869135,1.731096,1.784114,2.148875,3.141535,3.295999,2.937708,2.164424,2.138702,1.822042,1.739856,1.698897,1.760546,1.826897,1.797463,1.730836,1.851327,1.818605,1.647618,1.628153,1.71114,1.662723,1.614351,TRAKVJQ12903CB141D,b'Monsters In Tinsel Town',Pop_Rock
8,4.829749,5.034182,6.870569,4.712041,6.145079,10.152269,9.768635,5.843408,6.384324,7.11635,3.339083,3.96828,9.899933,3.074562,3.264201,7.021809,3.176183,3.569993,8.661244,4.417658,3.446851,3.376007,3.727184,3.24122,6.978265,18.783261,3.986162,3.000116,4.306455,2.064108,1.941518,6.164676,2.767582,2.382263,2.803408,2.766531,2.514242,3.532621,5.066025,2.819468,1.915585,2.939348,1.5919,1.506992,4.450247,2.132906,2.515231,2.944979,2.556657,4.322683,10.866521,10.736296,4.062699,3.02212,2.452218,1.898206,1.731756,2.60191,1.492953,1.881895,TRANWOF12903CB3E19,b'Realizer',Electronic
9,21.625897,13.868144,14.968861,12.489452,13.640755,8.998349,8.614204,7.182962,7.781199,9.745332,5.834024,5.186153,6.928126,4.509049,4.609537,4.487123,4.573923,3.733929,5.23241,5.292398,3.426057,2.965198,3.396207,3.065558,3.242496,2.817407,2.87894,2.636259,3.124176,3.11587,2.4623,2.632141,1.921688,2.407457,1.933914,2.311065,2.355386,2.334137,2.276809,2.039828,2.003605,2.200135,1.663447,1.595733,1.855806,1.908478,1.883222,1.94262,1.948652,2.005854,1.863235,1.784466,1.50211,1.787461,1.749178,1.684019,1.710579,1.580868,1.764073,2.058043,TRAHDJL128F9305B80,b'Piece Of My Heart',Pop_Rock
